Evaluacion,Costo,Puntaje_YOLO,Penalizacion_Obs,Penalizacion_Dist,Penalizacion_Suav,Distancia_Teorica,Tiempo_Vuelo,x0,y0,z0,yaw0,x1,y1,z1,yaw1,x2,y2,z2,yaw2,x3,y3,z3,yaw3,x4,y4,z4,yaw4,x5,y5,z5,yaw5,x6,y6,z6,yaw6,x7,y7,z7,yaw7,x8,y8,z8,yaw8,x9,y9,z9,yaw9,x10,y10,z10,yaw10,x11,y11,z11,yaw11,x12,y12,z12,yaw12,x13,y13,z13,yaw13
11,-20.342206691394285,9.890335244602625,0.0,0.0,0.0,14.533732182668231,20.2,-0.4142135623730949,0.5857864376269049,0.45,0.28492412662206246,0.33944187608966603,-0.8877666606167351,0.45,1.234197113910276,1.223928952206616,-0.9874244197864852,0.45,1.6829960644231037,3.064064153030673,-0.6934483984565682,0.45,2.4545097635512616,3.6934483984565682,0.9359358469693269,0.45,3.117811958158388,2.9874244197864854,0.7760710477933843,0.45,3.029392915961586,2.887766660616735,1.6605581239103342,0.45,-2.8049934407051724,2.414213562373095,2.414213562373095,0.45,-2.356194490192345,1.6605581239103344,2.887766660616735,0.45,-1.9073955396795175,0.7760710477933844,2.9874244197864854,0.45,-1.4585965891666899,-0.06406415303067292,2.6934483984565682,0.45,-1.009797638653862,-0.6934483984565682,2.0640641530306736,0.45,-0.5609986881410347,-0.9874244197864852,1.223928952206616,0.45,-0.112199737628207,-0.8877666606167351,0.33944187608966614,0.45,0.3365992128846206
12,-20.89583672996284,10.02689130836063,0.0,0.0,0.0,14.364430913582357,20.04,-0.4142135623730949,0.5857864376269049,0.45,0.28492412662206246,0.33944187608966603,-0.8877666606167351,0.45,1.234197113910276,1.223928952206616,-0.9874244197864852,0.45,1.6829960644231037,3.064064153030673,-0.6934483984565682,0.45,2.4545097635512616,3.6934483984565682,-0.06406415303067314,0.45,2.765355211812897,3.9874244197864854,0.7760710477933843,0.45,3.066775372440722,2.887766660616735,1.6605581239103342,0.45,-2.8049934407051724,2.414213562373095,2.414213562373095,0.45,-2.356194490192345,1.6605581239103344,2.887766660616735,0.45,-1.9073955396795175,0.7760710477933844,2.9874244197864854,0.45,-1.4585965891666899,-0.06406415303067292,2.6934483984565682,0.45,-1.009797638653862,-0.6934483984565682,2.0640641530306736,0.45,-0.5609986881410347,-0.9874244197864852,1.223928952206616,0.45,-0.112199737628207,-0.8877666606167351,0.33944187608966614,0.45,0.3365992128846206
13,153.14483183529103,9.886218285560608,0.0,173.71942490589876,0.0,14.186610886372428,19.84,-0.4142135623730949,0.5857864376269049,0.45,0.28492412662206246,0.33944187608966603,-0.8877666606167351,0.45,1.234197113910276,1.223928952206616,-0.9874244197864852,0.45,1.6829960644231037,3.064064153030673,-0.6934483984565682,0.45,2.4545097635512616,3.6934483984565682,-0.06406415303067314,0.45,2.765355211812897,2.9874244197864854,1.7760710477933843,0.45,-2.769310603857735,2.887766660616735,1.6605581239103342,0.45,-2.8049934407051724,2.414213562373095,2.414213562373095,0.45,-2.356194490192345,1.6605581239103344,2.887766660616735,0.45,-1.9073955396795175,0.7760710477933844,2.9874244197864854,0.45,-1.4585965891666899,-0.06406415303067292,2.6934483984565682,0.45,-1.009797638653862,-0.6934483984565682,2.0640641530306736,0.45,-0.5609986881410347,-0.9874244197864852,1.223928952206616,0.45,-0.112199737628207,-0.8877666606167351,0.33944187608966614,0.45,0.3365992128846206
14,-20.5148290634168,10.08645510673523,0.0,0.0,0.0,15.187654556271871,20.84,-0.4142135623730949,0.5857864376269049,0.45,0.28492412662206246,0.33944187608966603,-0.8877666606167351,0.45,1.234197113910276,1.223928952206616,-0.9874244197864852,0.45,1.6829960644231037,3.064064153030673,-0.6934483984565682,0.45,2.4545097635512616,3.6934483984565682,-0.06406415303067314,0.45,2.765355211812897,2.9874244197864854,0.7760710477933843,0.45,3.029392915961586,3.887766660616735,1.6605581239103342,0.45,-2.91671787425524,2.414213562373095,2.414213562373095,0.45,-2.356194490192345,1.6605581239103344,2.887766660616735,0.45,-1.9073955396795175,0.7760710477933844,2.9874244197864854,0.45,-1.4585965891666899,-0.06406415303067292,2.6934483984565682,0.45,-1.009797638653862,-0.6934483984565682,2.0640641530306736,0.45,-0.5609986881410347,-0.9874244197864852,1.223928952206616,0.45,-0.112199737628207,-0.8877666606167351,0.33944187608966614,0.45,0.3365992128846206
15,-20.163264521914133,9.86904460589091,0.0,0.0,0.0,14.691356433873562,20.36,-0.4142135623730949,0.5857864376269049,0.45,0.28492412662206246,0.33944187608966603,-0.8877666606167351,0.45,1.234197113910276,1.223928952206616,-0.9874244197864852,0.45,1.6829960644231037,3.064064153030673,-0.6934483984565682,0.45,2.4545097635512616,3.6934483984565682,-0.06406415303067314,0.45,2.765355211812897,2.9874244197864854,0.7760710477933843,0.45,3.029392915961586,2.887766660616735,2.6605581239103344,0.45,-2.4201398110096424,2.414213562373095,2.414213562373095,0.45,-2.356194490192345,1.6605581239103344,2.887766660616735,0.45,-1.9073955396795175,0.7760710477933844,2.9874244197864854,0.45,-1.4585965891666899,-0.06406415303067292,2.6934483984565682,0.45,-1.009797638653862,-0.6934483984565682,2.0640641530306736,0.45,-0.5609986881410347,-0.9874244197864852,1.223928952206616,0.45,-0.112199737628207,-0.8877666606167351,0.33944187608966614,0.45,0.3365992128846206
16,-20.105572329724357,9.920214115248788,0.0,0.0,0.0,15.006225678143537,20.68,-0.4142135623730949,0.5857864376269049,0.45,0.28492412662206246,0.33944187608966603,-0.8877666606167351,0.45,1.234197113910276,1.223928952206616,-0.9874244197864852,0.45,1.6829960644231037,3.064064153030673,-0.6934483984565682,0.45,2.4545097635512616,3.6934483984565682,-0.06406415303067314,0.45,2.765355211812897,2.9874244197864854,0.7760710477933843,0.45,3.029392915961586,2.887766660616735,1.6605581239103342,0.45,-2.8049934407051724,3.414213562373095,2.414213562373095,0.45,-2.6116898638408665,1.6605581239103344,2.887766660616735,0.45,-1.9073955396795175,0.7760710477933844,2.9874244197864854,0.45,-1.4585965891666899,-0.06406415303067292,2.6934483984565682,0.45,-1.009797638653862,-0.6934483984565682,2.0640641530306736,0.45,-0.5609986881410347,-0.9874244197864852,1.223928952206616,0.45,-0.112199737628207,-0.8877666606167351,0.33944187608966614,0.45,0.3365992128846206
17,-20.131511813366927,9.928320203887091,0.0,0.0,0.0,15.006225678143537,20.68,-0.4142135623730949,0.5857864376269049,0.45,0.28492412662206246,0.33944187608966603,-0.8877666606167351,0.45,1.234197113910276,1.223928952206616,-0.9874244197864852,0.45,1.6829960644231037,3.064064153030673,-0.6934483984565682,0.45,2.4545097635512616,3.6934483984565682,-0.06406415303067314,0.45,2.765355211812897,2.9874244197864854,0.7760710477933843,0.45,3.029392915961586,2.887766660616735,1.6605581239103342,0.45,-2.8049934407051724,2.414213562373095,3.414213562373095,0.45,-2.100699116543823,1.6605581239103344,2.887766660616735,0.45,-1.9073955396795175,0.7760710477933844,2.9874244197864854,0.45,-1.4585965891666899,-0.06406415303067292,2.6934483984565682,0.45,-1.009797638653862,-0.6934483984565682,2.0640641530306736,0.45,-0.5609986881410347,-0.9874244197864852,1.223928952206616,0.45,-0.112199737628207,-0.8877666606167351,0.33944187608966614,0.45,0.3365992128846206
18,-20.403609192527735,9.94415231545766,0.0,0.0,0.0,14.691356433873562,20.36,-0.4142135623730949,0.5857864376269049,0.45,0.28492412662206246,0.33944187608966603,-0.8877666606167351,0.45,1.234197113910276,1.223928952206616,-0.9874244197864852,0.45,1.6829960644231037,3.064064153030673,-0.6934483984565682,0.45,2.4545097635512616,3.6934483984565682,-0.06406415303067314,0.45,2.765355211812897,2.9874244197864854,0.7760710477933843,0.45,3.029392915961586,2.887766660616735,1.6605581239103342,0.45,-2.8049934407051724,2.414213562373095,2.414213562373095,0.45,-2.356194490192345,2.6605581239103344,2.887766660616735,0.45,-2.2922491693750473,0.7760710477933844,2.9874244197864854,0.45,-1.4585965891666899,-0.06406415303067292,2.6934483984565682,0.45,-1.009797638653862,-0.6934483984565682,2.0640641530306736,0.45,-0.5609986881410347,-0.9874244197864852,1.223928952206616,0.45,-0.112199737628207,-0.8877666606167351,0.33944187608966614,0.45,0.3365992128846206
19,-19.926777407329556,9.902688964207966,0.0,0.0,0.0,15.187654556271873,20.84,-0.4142135623730949,0.5857864376269049,0.45,0.28492412662206246,0.33944187608966603,-0.8877666606167351,0.45,1.234197113910276,1.223928952206616,-0.9874244197864852,0.45,1.6829960644231037,3.064064153030673,-0.6934483984565682,0.45,2.4545097635512616,3.6934483984565682,-0.06406415303067314,0.45,2.765355211812897,2.9874244197864854,0.7760710477933843,0.45,3.029392915961586,2.887766660616735,1.6605581239103342,0.45,-2.8049934407051724,2.414213562373095,2.414213562373095,0.45,-2.356194490192345,1.6605581239103344,3.887766660616735,0.45,-1.7956711061294501,0.7760710477933844,2.9874244197864854,0.45,-1.4585965891666899,-0.06406415303067292,2.6934483984565682,0.45,-1.009797638653862,-0.6934483984565682,2.0640641530306736,0.45,-0.5609986881410347,-0.9874244197864852,1.223928952206616,0.45,-0.112199737628207,-0.8877666606167351,0.33944187608966614,0.45,0.3365992128846206
20,152.83280409331653,10.006830091829652,0.0,173.71942490589885,0.0,14.28647096254515,19.96,-0.4142135623730949,0.5857864376269049,0.45,0.28492412662206246,0.33944187608966603,-0.8877666606167351,0.45,1.234197113910276,1.223928952206616,-0.9874244197864852,0.45,1.6829960644231037,3.064064153030673,-0.6934483984565682,0.45,2.4545097635512616,3.6934483984565682,-0.06406415303067314,0.45,2.765355211812897,2.9874244197864854,0.7760710477933843,0.45,3.029392915961586,2.887766660616735,1.6605581239103342,0.45,-2.8049934407051724,2.414213562373095,2.414213562373095,0.45,-2.356194490192345,1.6605581239103344,2.887766660616735,0.45,-1.9073955396795175,1.7760710477933843,2.9874244197864854,0.45,-1.943078376526955,-0.06406415303067292,2.6934483984565682,0.45,-1.009797638653862,-0.6934483984565682,2.0640641530306736,0.45,-0.5609986881410347,-0.9874244197864852,1.223928952206616,0.45,-0.112199737628207,-0.8877666606167351,0.33944187608966614,0.45,0.3365992128846206
